# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('16.13', 2646)
('16.12', 2615)
('16.11', 2622)
('16.10', 24651)
('16.17', 2599)
('16.16', 2756)
('16.15', 2613)
('16.14', 2721)
('16.19', 2669)
('16.18', 2806)
('42.68', 3)
('261466.50', 1)
('10.19', 8672)
('10.18', 8851)
('42.62', 14)
('10.11', 8978)
('10.10', 80826)
('10.13', 9000)
('10.12', 8809)
('10.15', 8654)
('10.14', 8800)
('10.17', 8693)
('10.16', 9072)
('37.01', 19)
('37.00', 137)
('37.03', 16)
('37.02', 7)
('37.05', 20)
('37.04', 22)
('37.07', 14)
('37.06', 15)
('37.09', 24)
('37.08', 15)
('42.66', 10)
('24.76', 137)
('24.77', 123)
('88.80', 1)
('35.09', 13)
('35.08', 16)
('35.07', 20)
('35.06', 10)
('35.05', 22)
('35.04', 17)
('35.03', 16)
('35.02', 16)
('35.01', 27)
('35.00', 149)
('76.57', 1)
('29.54', 68)
('28.38', 153)
('28.39', 122)
('508331.80', 1)
('9.80', 86150)
('217.20', 1)
('28.31', 126)
('28.32', 134)
('28.33', 129)
('28.34', 134)
('28.35', 123)
('28.36', 112)
('28.37', 130)
('12.17', 4605)
('6.27', 16828)
('12.15', 4663)
('6.25', 17078)
('12.13', 4620)
('12.12', 4685)
('6.20', 153781)
('6.21', 17177)
('9.85', 9605)
('46.29', 3)
('46.28', 3)
('12.19', 4439)
('12.18', 4711)
('9.87', 9251)
('9.86', 9454)
('148.90', 1)
